country,doctor_and_nurses,government,journalist,neighbourhood,philantropist,population,scientist,traditional_healers,Capital City,Latitude,Longitude,Population
China,90.86,56.93,74.62,88.08,73.24,1426106093.0,96.57,92.47,Beijing,39.9075,116.3972,19617963
India,85.67,74.18,69.12,68.36,65.68,1402617695.0,85.3,38.2,Delhi,28.6667,77.2167,28513682
Indonesia,81.09,70.82,63.41,80.38,58.64,274814866.0,70.11,66.59,Jakarta,-6.2118,106.8416,10516927
Nigeria,64.21,21.11,37.0,42.47,44.08,213996181.0,47.41,35.11,Abuja,9.0574,7.4898,2918518
Brazil,84.87,42.98,56.36,53.58,65.22,208660842.0,79.73,26.95,Brasília,-15.7797,-47.9297,4469585
Bangladesh,88.87,88.39,71.72,86.78,75.47,166298024.0,87.31,14.65,Dhaka,23.7104,90.4074,19578421
Mexico,88.41,55.24,55.71,67.28,58.47,126799054.0,84.42,21.6,Ciudad de México (Mexico City),19.4273,-99.1419,21580827
Japan,97.19,60.94,56.31,86.37,77.06,126304543.0,93.92,58.26,Tokyo,35.6895,139.6917,37468302
Ethiopia,89.02,82.54,63.19,83.63,70.78,118917671.0,82.03,49.54,Addis Ababa,9.025,38.7469,4399674
Philippines,92.49,84.0,81.06,76.88,85.26,112081264.0,84.46,43.1,Manila,14.6042,120.9822,13482468
Egypt,86.07,80.7,48.55,78.27,73.41,109315124.0,91.51,65.83,Al-Qahirah (Cairo),30.0392,31.2394,20076002
Germany,97.09,81.44,79.16,91.47,89.66,83628708.0,93.06,55.14,Berlin,52.5244,13.4105,3552123
Thailand,96.14,58.55,72.37,71.78,57.8,71641484.0,91.08,69.0,Krung Thep (Bangkok),13.722,100.5252,10156316
United Kingdom,93.27,49.65,60.69,88.14,86.69,67351861.0,90.28,37.71,London,51.5085,-0.1257,9046485
France,97.59,57.53,61.87,81.8,86.97,65905277.0,92.07,46.74,Paris,48.8534,2.3488,10900952
South Africa,85.43,52.09,55.07,49.8,68.66,60562381.0,63.53,48.28,Cape Town,-33.9258,18.4232,4430367
Italy,90.19,55.3,46.43,79.82,68.9,59912769.0,91.78,17.89,Roma (Rome),41.8947,12.4811,4209710
Myanmar,94.05,94.4,72.97,78.55,78.57,53016522.0,87.94,48.01,Nay Pyi Taw,19.745,96.1297,500218
Kenya,72.01,46.2,69.85,58.43,63.23,52217334.0,60.49,34.87,Nairobi,-1.2833,36.8167,4385853
Colombia,81.94,41.05,48.17,61.87,54.61,50629997.0,75.03,23.29,Bogotá,4.6097,-74.0818,10574409
Spain,97.69,51.91,62.84,82.65,76.52,47679489.0,93.79,14.98,Madrid,40.4165,-3.7026,6497124
Argentina,92.46,43.52,52.81,75.87,71.4,45191965.0,89.37,13.94,Buenos Aires,-34.6051,-58.4004,14966530
Ukraine,67.65,29.34,41.84,75.47,57.08,44680014.0,84.69,18.13,Kyiv (Kiev),50.4454,30.5186,2956706
Uganda,77.9,46.64,63.17,47.01,64.55,44457152.0,63.75,19.68,Kampala,0.3163,32.5822,2986352
Algeria,81.13,64.98,44.31,67.3,68.35,44042091.0,84.42,74.09,El Djazaïr  (Algiers),36.7525,3.042,2693542
Iraq,63.75,33.16,61.4,76.03,63.66,42116605.0,64.83,56.82,Baghdad,33.3406,44.4009,6811955
Canada,96.62,76.49,76.81,89.83,85.98,38171902.0,93.45,63.96,Ottawa-Gatineau,45.4166,-75.698,1363159
Poland,90.72,29.04,67.43,90.5,87.1,38171012.0,95.67,49.17,Warszawa (Warsaw),52.2298,21.0118,1767798
Morocco,79.89,55.99,63.85,73.75,76.62,36584208.0,90.02,48.42,Rabat,34.0133,-6.8326,1846661
Malaysia,88.79,70.38,61.22,71.86,73.8,33889558.0,74.43,32.2,Kuala Lumpur,3.1412,101.6865,7563912
Uzbekistan,93.48,97.45,90.36,90.51,83.08,33586372.0,93.34,45.52,Tashkent,41.2647,69.2163,2463969
Peru,72.64,47.04,46.39,57.42,52.04,32838578.999999996,71.24,9.95,Lima,-12.0432,-77.0282,10390607
Ghana,79.57,63.51,65.31,56.74,67.74,31887809.0,67.05,56.12,Accra,5.556,-0.1969,2439389
Saudi Arabia,78.43,56.93,59.56,72.47,66.81,30991207.0,78.66,53.28,Ar-Riyadh (Riyadh),24.6905,46.7096,6906595
Nepal,93.88,62.03,81.49,87.83,79.69,28966574.0,92.58,76.42,Kathmandu,27.7017,85.3206,1329732
Cameroon,45.99,30.28,41.94,33.71,38.26,26210558.0,38.97,27.93,Yaoundé,3.8667,11.5167,3655656
Australia,98.09,74.49,71.31,92.21,87.26,25743791.0,93.85,57.33,Canberra,-35.2835,149.1281,447692
Sri Lanka,97.5,78.63,81.83,81.04,64.07,22561807.0,93.33,91.54,Colombo,6.9319,79.8478,599821
Mali,68.02,51.21,62.12,71.25,67.85,21713836.0,70.24,70.25,Bamako,12.65,-8.0,2446749
Burkina Faso,73.7,52.23,65.37,55.94,50.96,21478690.0,63.25,54.32,Ouagadougou,12.3642,-1.5383,2531381
Kazakhstan,83.72,80.45,69.52,84.67,73.62,19482117.0,82.37,32.21,Astana,51.1801,71.446,1068113
Romania,80.06,29.35,54.86,77.9,72.12,19392469.0,86.51,38.82,Bucuresti (Bucharest),44.4328,26.1043,1821380
Chile,86.83,30.76,42.97,69.51,67.21,19370624.0,82.34,13.87,Santiago,-33.4569,-70.6483,6680371
Zambia,72.71,47.73,59.81,45.3,62.07,19059395.0,51.23,14.17,Lusaka,-15.4134,28.2771,2523844
Netherlands,97.89,84.21,81.05,93.7,85.58,17636731.0,92.97,43.09,Amsterdam,52.374,4.8897,1131690
Ecuador,69.21,27.48,44.16,53.89,46.87,17546065.0,57.2,13.89,Quito,-0.2299,-78.525,1822397
Senegal,82.45,56.61,60.88,77.53,67.63,16789219.0,83.33,55.08,Dakar,14.6937,-17.4441,2978419
Cambodia,92.06,92.7,80.47,75.51,89.04,16725473.999999998,82.31,55.72,Phnum Pénh (Phnom Penh),11.5625,104.916,1952329
Zimbabwe,81.51,67.77,65.99,64.96,83.9,15526888.0,73.22,31.66,Harare,-17.8294,31.0539,1515016
Guinea,56.42,35.14,58.51,56.69,54.88,13371183.0,51.27,38.89,Conakry,9.5716,-13.6476,1843121
Benin,59.29,61.12,41.64,22.99,42.43,13070169.0,43.36,33.44,Cotonou,6.3654,2.4183,685458
Tunisia,78.89,26.87,45.91,62.81,53.72,11974057.0,80.16,46.59,Tunis,36.819,10.1658,2290777
